,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT,LATITUDE,LONGITUDE
133,7281.0,Red Light / Speed Camera,THE HORSLEY DRIVE SMITHFIELD WESTBOUND,,Y,108,-33.85315,150.939634
134,7282.0,Red Light / Speed Camera,MACQUARIE STREET PARRAMATTA WESTBOUND,,Y,89,-33.8154975,151.0045853
135,7283.0,Red Light / Speed Camera,BRIENS ROAD NORTHMEAD WESTBOUND,,Y,98,-33.7957943,150.989149
136,7284.0,Red Light / Speed Camera,MAMRE ROAD ST MARYS SOUTHBOUND,Y,Y,111,-33.7877012,150.7714889
137,7285.0,Red Light / Speed Camera,ALISON ROAD RANDWICK WESTBOUND,,Y,97,-33.9120879,151.2378064
138,7286.0,Red Light / Speed Camera,ROCKY POINT ROAD RAMSGATE SOUTHBOUND,,Y,59,-33.981924,151.1367512
139,7287.0,Red Light / Speed Camera,COLLINS STREET ALEXANDRIA EASTBOUND,,Y,149,-33.911853,151.1983787
140,7288.0,Red Light / Speed Camera,QUEEN STREET WOOLLAHRA EASTBOUND,,Y,90,-33.8882355,151.2382061
141,7289.0,Red Light / Speed Camera,THOMAS STREET WALLSEND WESTBOUND,,Y,99,-32.9078928,151.66465
142,7290.0,Red Light / Speed Camera,KING STREET WARRAWONG SOUTHBOUND,,Y,108,-34.4881665,150.887895
143,7291.0,Red Light / Speed Camera,SPRINGHILL ROAD (NORTHBOUND) SPRING HILL EASTBOUND,,Y,51,-34.4435211,150.8820758
144,7292.0,Red Light / Speed Camera,SPRINGHILL ROAD (SOUTHBOUND) SPRING HILL SOUTHBOUND,,Y,98,-31.2532183,146.921099
145,7293.0,Red Light / Speed Camera,RAILWAY PARADE BURWOOD WESTBOUND,,Y,35,-33.8769561,151.1009038
146,7294.0,Red Light / Speed Camera,ROOKWOOD ROAD YAGOONA SOUTHBOUND,,Y,144,-33.8990549,151.0373711
147,7295.0,Red Light / Speed Camera,ELIZABETH STREET SYDNEY NORTHBOUND,,Y,117,-33.8869308,151.2082467
148,7296.0,Red Light / Speed Camera,WILLIAM STREET DARLINGHURST WESTBOUND,,Y,76,-33.874597,151.216813
149,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,136,-33.811225,151.1664308
150,7298.0,Red Light / Speed Camera,VICTORIA ROAD ERMINGTON EASTBOUND,,Y,95,-33.8126402,151.0608014
151,7299.0,Red Light / Speed Camera,MERRYLANDS ROAD MERRYLANDS WEST WESTBOUND,,Y,86,-33.8366784,150.9897028
152,7300.0,Red Light / Speed Camera,RAWSON STREET AUBURN WESTBOUND,,Y,136,-33.85168,151.0381018
153,7301.0,Red Light / Speed Camera,RUTLEDGE STREET EASTWOOD WESTBOUND,Y,Y,98,-33.7943637,151.0742803
154,7302.0,Red Light / Speed Camera,OXFORD STREET DARLINGHURST WESTBOUND,,Y,112,-33.8786986,151.2136182
155,7303.0,Red Light / Speed Camera,CARLINGFORD ROAD EPPING WESTBOUND,,Y,62,-33.7714908,151.0799406
156,7304.0,Red Light / Speed Camera,HARROW ROAD BEXLEY SOUTHBOUND,,Y,63,-33.9522038,151.1313347
157,7305.0,Red Light / Speed Camera,FALCON STREET NEUTRAL BAY WESTBOUND,,Y,110,-33.8303753,151.2141223
158,7306.0,Red Light / Speed Camera,MARCH STREET RICHMOND EASTBOUND,,Y,105,-33.5989673,150.7514322
159,7307.0,Red Light / Speed Camera,PACIFIC HIGHWAY WAITARA EASTBOUND,Y,Y,180,-33.7105191,151.1034277
160,7308.0,Red Light / Speed Camera,ANZAC PARADE MAROUBRA SOUTHBOUND,,Y,76,-33.9405701,151.2382857
161,7309.0,Red Light / Speed Camera,PENNANT STREET CASTLE HILL NORTHBOUND,,Y,103,-33.7314048,151.0035251
162,7310.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN EASTBOUND,Y,Y,100,-33.7651658,150.9090725
163,7311.0,Red Light / Speed Camera,OLD WINDSOR ROAD GLENWOOD NORTHBOUND,,Y,103,-33.7326581,150.9422722
164,7312.0,Red Light / Speed Camera,RICHMOND ROAD DEAN PARK EASTBOUND,,Y,110,-33.738493,150.8571677
165,7313.0,Red Light / Speed Camera,KING GEORGES ROAD BLAKEHURST SOUTHBOUND,,Y,50,-33.9826229,151.1089423
166,7314.0,Red Light / Speed Camera,SACKVILLE STREET FAIRFIELD SOUTHBOUND,,Y,50,-33.8742587,150.9446379
167,7315.0,Red Light / Speed Camera,HUME HIGHWAY LIVERPOOL SOUTHBOUND,,Y,59,-33.925489,150.9181228
168,7316.0,Red Light / Speed Camera,ABERCROMBIE STREET CHIPPENDALE NORTHBOUND,,Y,61,-33.8868105,151.1987816
169,7317.0,Red Light / Speed Camera,PRINCES HIGHWAY ST PETERS NORTHBOUND,,Y,92,-33.9152419,151.1751742
170,7318.0,Red Light / Speed Camera,OXFORD STREET DARLINGHURST EASTBOUND,,Y,89,-33.8818177,151.2195857
171,7319.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY EASTERN CREEK EASTBOUND,,Y,40,-33.7880939,150.8510543
172,7320.0,Red Light / Speed Camera,STONEY CREEK ROAD KINGSGROVE EASTBOUND,,Y,66,-33.9510299,151.092051
173,7321.0,Red Light / Speed Camera,ROOKWOOD ROAD YAGOONA NORTHBOUND,,Y,75,-33.8990549,151.0373711
174,7322.0,Red Light / Speed Camera,ROBERTS ROAD GREENACRE NORTHBOUND,,Y,71,-33.9017916,151.0648827
175,7323.0,Red Light / Speed Camera,FORESHORE ROAD BANKSMEADOW EASTBOUND,,Y,51,-33.9612894,151.2099956
176,7324.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CANLEY HEIGHTS NORTHBOUND,Y,Y,80,-33.88209,150.9240894
177,7325.0,Red Light / Speed Camera,MACQUARIE STREET WINDSOR SOUTHBOUND,,Y,84,-33.6065709,150.8222373
178,7326.0,Red Light / Speed Camera,HOMEBUSH BAY DRIVE SYDNEY OLYMPIC PARK NORTHBOUND,,Y,34,-33.8549852,151.0722685
179,7327.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN SOUTHBOUND,,Y,52,-33.7651658,150.9090725
180,7328.0,Red Light / Speed Camera,WOODSTOCK AVENUE ROOTY HILL WESTBOUND,,Y,50,-33.758949,150.8326728
181,7329.0,Red Light / Speed Camera,FOVEAUX STREET SURRY HILLS WESTBOUND,,Y,41,-33.8845354,151.2113085
182,7330.0,Red Light / Speed Camera,VICTORIA ROAD DRUMMOYNE NORTHBOUND,,Y,36,-33.8508561,151.1545913
183,7331.0,Red Light / Speed Camera,MCEVOY STREET WATERLOO EASTBOUND,,Y,17,-33.9008384,151.2038166
184,7332.0,Red Light / Speed Camera,CROWN STREET SURRY HILLS NORTHBOUND,Y,Y,36,-33.8841552,151.2142346
185,7333.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PARRAMATTA EASTBOUND,,Y,46,-33.8188816,150.9975736
186,7334.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PROSPECT WESTBOUND,,Y,27,-33.7991518,150.9004175
187,7335.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY GREYSTANES SOUTHBOUND,,Y,43,-33.8281803,150.9616772
188,7336.0,Red Light / Speed Camera,RAWSON STREET AUBURN EASTBOUND,,Y,29,-33.846332,151.0302299
189,7337.0,Red Light / Speed Camera,POLDING STREET SMITHFIELD EASTBOUND,,Y,26,-33.861154,150.9328879
190,7338.0,Red Light / Speed Camera,MOORE STREET LIVERPOOL EASTBOUND,,Y,16,-33.921885,150.9188845
