LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
7243.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET SOUTHBOUND,,Y,121
7244.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET EASTBOUND,,Y,168
7245.0,Red Light / Speed Camera,THE BOULEVARDE WILEY PARK WESTBOUND,Y,Y,242
7246.0,Red Light / Speed Camera,CANTERBURY ROAD CAMPSIE EASTBOUND,,Y,225
7247.0,Red Light / Speed Camera,WILLOUGHBY ROAD NAREMBURN SOUTHBOUND,,Y,137
7248.0,Red Light / Speed Camera,STACEY STREET BANKSTOWN NORTHBOUND,,Y,133
7249.0,Red Light / Speed Camera,O'CONNELL STREET PARRAMATTA SOUTHBOUND,,Y,179
7250.0,Red Light / Speed Camera,CHISHOLM ROAD AUBURN NORTHBOUND,,Y,105
7251.0,Red Light / Speed Camera,CITY WEST LINK LEICHHARDT WESTBOUND,,Y,256
7252.0,Red Light / Speed Camera,BROUGHTON STREET CONCORD SOUTHBOUND,,Y,101
7253.0,Red Light / Speed Camera,MEMORIAL AVENUE LIVERPOOL EASTBOUND,,Y,145
7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,429
7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,572
7271.0,Red Light / Speed Camera,PUNCHBOWL ROAD LAKEMBA WESTBOUND,,Y,169
7272.0,Red Light / Speed Camera,EDGAR STREET BANKSTOWN SOUTHBOUND,,Y,9
7273.0,Red Light / Speed Camera,ABBOTT ROAD SEVEN HILLS WESTBOUND,,Y,139
7274.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY MOUNT DRUITT EASTBOUND,,Y,90
7275.0,Red Light / Speed Camera,GEORGES RIVER ROAD CROYDON PARK EASTBOUND,,Y,143
7276.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS BRADBURY SOUTHBOUND,,Y,222
7277.0,Red Light / Speed Camera,BURWOOD ROAD BELFIELD NORTHBOUND,,Y,113
7278.0,Red Light / Speed Camera,KINGSGROVE ROAD KINGSGROVE NORTHBOUND,,Y,190
7279.0,Red Light / Speed Camera,THE HORSLEY DRIVE FAIRFIELD NORTHBOUND,,Y,161
7280.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY SMITHFIELD SOUTHBOUND,,Y,197
7281.0,Red Light / Speed Camera,THE HORSLEY DRIVE SMITHFIELD WESTBOUND,,Y,134
7282.0,Red Light / Speed Camera,MACQUARIE STREET PARRAMATTA WESTBOUND,,Y,25
7283.0,Red Light / Speed Camera,BRIENS ROAD NORTHMEAD WESTBOUND,,Y,177
7284.0,Red Light / Speed Camera,MAMRE ROAD ST MARYS SOUTHBOUND,Y,Y,253
7285.0,Red Light / Speed Camera,ALISON ROAD RANDWICK WESTBOUND,,Y,66
7286.0,Red Light / Speed Camera,ROCKY POINT ROAD RAMSGATE SOUTHBOUND,,Y,130
7287.0,Red Light / Speed Camera,COLLINS STREET ALEXANDRIA EASTBOUND,,Y,41
