LOCATION_CODE,LATITUDE,LONGITUDE
10301.0,-28.95,153.466667
10303.0,-28.95,153.466667
10307.0,-30.6545822,152.2041476
10310.0,-28.8932722,153.4817939
10311.0,-28.95,153.466667
10315.0,-28.5543141,153.5074937
10316.0,-28.5543141,153.5074937
10318.0,-29.559824,151.8602199
10319.0,-31.3387085,152.0196025
10326.0,-28.3560097,153.5728815
10329.0,-28.3356473,153.5740863
10330.0,-30.0162008,153.1776538
10331.0,-30.0162008,153.1776538
10332.0,-30.0162008,153.1776538
10333.0,-30.0162008,153.1776538
10335.0,-28.3560097,153.5728815
10336.0,-28.3560097,153.5728815
10337.0,-28.2973076,153.5701941
10340.0,-31.6899927,152.7336511
10343.0,-31.634383,152.723865
10346.0,-34.5135553,146.2674267
10348.0,-34.5292344,146.3544208
10352.0,-29.3877159,153.2411499
10357.0,-34.3582794,146.0358768
10358.0,-34.4580364,146.0249666
10362.0,-28.1879159,153.5148436
10365.0,-34.4580364,146.0249666
10366.0,-34.4580364,146.0249666
10368.0,-34.4986123,146.0103306
10371.0,-29.277366,153.2174581
10373.0,-34.4986123,146.0103306
10374.0,-34.4986123,146.0103306
10375.0,-34.4986123,146.0103306
10380.0,-28.86373619999999,153.5326189
10381.0,-28.86373619999999,153.5326189
10382.0,-28.86373619999999,153.5326189
10383.0,-31.3689451,152.8011527
10400.0,-30.2057841,151.6755664
10410.0,-30.8817277,152.9372061
10411.0,-30.8817277,152.9372061
10412.0,-30.8817277,152.9372061
10413.0,-30.9282958,152.9410822
10414.0,-31.1123577,152.8301684
10416.0,-31.1123577,152.8301684
10417.0,-31.1123577,152.8301684
10423.0,-30.2383266,151.1313999
10430.0,-30.3089214,153.09976
10433.0,-30.3417432,153.0724488
10435.0,-30.364284,153.038992
10443.0,-29.9342943,153.0957351
10446.0,-29.9342943,153.0957351
10448.0,-29.9342943,153.0957351
10449.0,-29.9342943,153.0957351
10453.0,-28.812556,153.383383
10454.0,-28.8182469,153.3274972
10455.0,-28.8152987,153.286874
10456.0,-28.8152987,153.286874
10463.0,-30.4595405,151.3555334
10470.0,-31.0997108,150.9414436
10471.0,-31.1241952,150.9842987
10474.0,-31.1106376,150.9977725
10481.0,-28.9323877,153.4355079
10484.0,-28.8968342,153.4354416
10485.0,-28.8968342,153.4354416
10498.0,-35.0846006,149.2529124
10504.0,-36.44967,148.4131588
10505.0,-36.44967,148.4131588
10518.0,-33.7908206,150.671978
10520.0,-33.8973769,147.3127352
10527.0,-33.7074328,151.1227643
10529.0,-33.7877012,150.7714889
10531.0,-34.3355065,146.167106
10532.0,-34.3355065,146.167106
