,Unnamed: 0,OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,SECTION_CLAUSE,FACE_VALUE,CAMERA_IND,CAMERA_TYPE,LOCATION_CODE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_BAND,SPEED_IND,POINT_TO_POINT_IND,RED_LIGHT_CAMERA_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,CINS_IND,FOOD_IND,BICYCLE_TOY_ETC_IND,TOTAL_NUMBER,TOTAL_VALUE
37775,58850,2016-2017,01/07/2016,83162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,341,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,1364
37848,58961,2017-2018,01/09/2017,83162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,346,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,692
37903,59040,2016-2017,01/11/2016,32792,Drive in bus lane - Camera recorded - Corporation,ROAD RULES 2014,154(1),1625,Y,Fixed Digital Bus Lane Camera,8468.0,EPPING ROAD LANE COVE WESTBOUND,,,,,,,,,,,,,2,3250
37914,59064,2016-2017,01/10/2016,32995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,2275,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,2,4550
37918,59070,2012-2013,01/03/2013,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,105,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,300,31500
38035,59249,2016-2017,01/06/2017,83406,Proceed through red traffic light - Camera recorded - Individual,ROAD RULES 2014,59(1),433,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,42,18186
38183,59462,2016-2017,01/02/2017,83052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,341,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,125,42625
38190,59475,2016-2017,01/06/2017,82792,Drive in bus lane - Camera recorded - Individual,ROAD RULES 2014,154(1),325,Y,Fixed Digital Bus Lane Camera,8466.0,EPPING ROAD LANE COVE EASTBOUND,,,,,,,,,,,,,4,1300
38236,59538,2014-2015,01/02/2015,83406,Proceed through red traffic light - Camera recorded - Individual,ROAD RULES 2014,59(1),415,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,80,33200
38327,59663,2014-2015,01/08/2014,24703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,1270,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,1270
38356,59701,2014-2015,01/05/2015,83491,Proceed through red traffic arrow - Camera recorded - Individual,ROAD RULES 2014,60,415,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,12,4980
38357,59702,2013-2014,01/06/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,106,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,248,26288
38371,59723,2014-2015,01/01/2015,83162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,327,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,327
38491,59893,2016-2017,01/04/2017,33180,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,2275,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,2275
38572,60004,2017-2018,01/07/2017,83229,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,346,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,346
38594,60034,2011-2012,01/04/2012,74709,Exceed speed limit over 45 km/h - Camera Detected,ROAD RULES 2008,20,1915,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,1,1915
38599,60042,2017-2018,01/10/2017,83052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,346,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,20,6920
38606,60052,2017-2018,01/08/2017,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,884,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,8,7072
38631,60086,2015-2016,01/08/2015,33052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Corporation,ROAD RULES 2014,20,1675,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,2,3350
38671,60135,2016-2017,01/02/2017,32950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,1325,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,1325
38684,60158,2016-2017,01/08/2016,83491,Proceed through red traffic arrow - Camera recorded - Individual,ROAD RULES 2014,60,433,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,296,128168
38744,60228,2014-2015,01/02/2015,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,835,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,3,2505
38750,60235,2017-2018,01/10/2017,33229,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,1730,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,3460
38768,60262,2016-2017,01/09/2016,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,265,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,205,54325
38966,60526,2016-2017,01/02/2017,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,570,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,2280
39035,60614,2015-2016,01/02/2016,32995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,2230,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,2230
39073,60661,2015-2016,01/11/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1338
39083,60674,2016-2017,01/11/2016,83093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Individual,ROAD RULES 2014,20,2350,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,3,7050
39191,60815,2017-2018,01/09/2017,83039,Motor vehicle exceed speed limit - over 20 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,576,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1728
