,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,RED_LIGHT_CAMERA_IND
122,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
123,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
124,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
125,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
126,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
127,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
129,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
130,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
131,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
133,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
135,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
137,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
138,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
140,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
141,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
142,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
143,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
145,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
146,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
147,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
149,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
150,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
151,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
152,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
153,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
154,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
155,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
156,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
157,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
158,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
159,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
160,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
163,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
164,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
166,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
167,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
168,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
170,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
171,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
172,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
173,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
174,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
175,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
176,22880.0,Mobile Digital Speed Camera,LANE COVE ROAD NORTH RYDE SOUTHBOUND,,Y,
178,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
180,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
181,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
182,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
184,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
185,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
186,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
187,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
188,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
189,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
190,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
191,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
192,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
193,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
194,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
195,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
197,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
198,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
200,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
201,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
203,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
204,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
205,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
206,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
207,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
208,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
209,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
210,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
211,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
212,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
213,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
214,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
217,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
219,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
222,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
223,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
224,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
225,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
226,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
227,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
228,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
229,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
231,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
232,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
233,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
234,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
235,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
236,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
237,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
238,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
240,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
241,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
